 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 12/08/2008   12:06:44
 ---------------------------------------------------------------------------------------------------------------------------------- 

12:06:44  |  General  |  Info  |  Register value : 'HStretch' = 6  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  166
12:06:44  |  General  |  Info  |  Register value : 'Top' = 8  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  167
12:06:44  |  General  |  Info  |  Register value : 'Bottom' = 16  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  168
12:06:44  |  General  |  Info  |  Register value : 'VStretch' = 24  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  169
12:06:44  |  General  |  Info  |  Register value : 'Stretch' = 30  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  170
12:06:44  |  General  |  Info  |  Register value : 'Default' = 10  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  171
12:06:44  |  General  |  Info  |  Register value : 'LeftTop' = 10  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  173
12:06:44  |  General  |  Info  |  Register value : 'RightTop' = 12  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  174
12:06:44  |  General  |  Info  |  Register value : 'RightBottom' = 20  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  175
12:06:44  |  General  |  Info  |  Register value : 'LeftBottom' = 18  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\include\mygui_align.h  |  176
12:06:44  |  General  |  Warning  |  state name 'disable' is obsolete, use 'disabled'. skin 'Button'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  194
12:06:44  |  General  |  Warning  |  state name 'active' is obsolete, use 'highlighted'. skin 'Button'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  198
12:06:44  |  General  |  Warning  |  state name 'pressed' is obsolete, use 'normal_checked'. skin 'Button'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  211
12:06:44  |  General  |  Warning  |  state name 'select' is obsolete, use 'pushed'. skin 'Button'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  202
12:06:44  |  General  |  Warning  |  state name 'disable' is obsolete, use 'disabled'. skin 'Button'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  194
12:06:44  |  General  |  Warning  |  state name 'active' is obsolete, use 'highlighted'. skin 'Button'  |  c:\users\nicholas.kostelnik\desktop\mygui\trunk\myguiengine\src\mygui_skinmanager.cpp  |  198
